s_m,x_m,y_m,z_m,tx,ty,tz,nx,ny,nz
0.009301218931445051,0.34443807174673186,-0.18678659893090885,1.032146301038294,0.04114891284837957,0.9991530248022054,0.0,0.9991530248022054,-0.04114891284837957,0.0
0.009403430128493897,0.34444245961532294,-0.18668687785822902,1.0321469428307408,0.045245159455204256,0.9989759133962506,0.0,0.9989759133962506,-0.045245159455204256,0.0
0.009505641325542744,0.3444471015048563,-0.1865872292971465,1.0321470143807807,0.04450002341832085,0.9990093832971585,0.0,0.9990093832971585,-0.04450002341832085,0.0
0.00960785252259159,0.3444513464716895,-0.18648737115651876,1.03214717255853,0.047724405113270044,0.9988605413953364,0.0,0.9988605413953364,-0.047724405113270044,0.0
0.009710063719640437,0.3444566338525771,-0.18638771950791921,1.032148274042903,0.047325414477151904,0.9988795248399909,0.0,0.9988795248399909,-0.047325414477151904,0.0
0.009812274916689285,0.34446079922243067,-0.18628785554164118,1.032148661654965,0.0448381001398984,0.9989942666381245,0.0,0.9989942666381246,-0.044838100139898404,0.0
0.00991448611373813,0.34446560395285025,-0.18618786539465096,1.0321498471499286,0.050491244231439227,0.9987245036825527,0.0,0.9987245036825527,-0.050491244231439227,0.0
0.010016697310786978,0.34447090990533236,-0.18608786469339483,1.0321505723618756,0.04794429337467722,0.9988500111291999,0.0,0.9988500111292,-0.047944293374677226,0.0
0.010118908507835825,0.34447521350076005,-0.1859876643621389,1.0321495765257984,0.04871852927713176,0.9988125474307346,0.0,0.9988125474307346,-0.04871852927713176,0.0
0.01022111970488467,0.3444806730379598,-0.18588770390210585,1.0321494956758208,0.0511462287745342,0.9986911751298011,0.0,0.9986911751298011,-0.0511462287745342,0.0
0.010323330901933518,0.3444854592058517,-0.18578760473891354,1.0321491937912894,0.04579396743475039,0.9989509059741549,0.0,0.998950905974155,-0.0457939674347504,0.0
0.010425542098982365,0.3444898591480643,-0.1856873178354408,1.0321485441761562,0.04900860118936544,0.9987983565312178,0.0,0.9987983565312178,-0.04900860118936544,0.0
0.01052775329603121,0.3444952836017855,-0.1855873829355072,1.0321478364726229,0.04829172778442259,0.9988332738888884,0.0,0.9988332738888885,-0.048291727784422596,0.0
0.010629964493080058,0.3444995220283525,-0.18548745738736264,1.032145706251684,0.04456562173884097,0.999006459117773,0.0,0.999006459117773,-0.04456562173884097,0.0
0.010732175690128904,0.3445041961384722,-0.1853875948170029,1.0321444138457434,0.0446863093293603,0.9990010679466367,0.0,0.9990010679466368,-0.04468630932936031,0.0
0.010834386887177751,0.34450845930481494,-0.18528765684745427,1.032144223497206,0.041608111273481505,0.9991340075666795,0.0,0.9991340075666796,-0.04160811127348151,0.0
0.010936598084226598,0.3445125122168955,-0.18518790113930444,1.0321432602201277,0.043902992594561846,0.9990357987786231,0.0,0.9990357987786233,-0.04390299259456185,0.0
0.011038809281275444,0.3445172132615945,-0.18508845593455686,1.0321423309340503,0.04182493339358241,0.9991249546211037,0.0,0.9991249546211037,-0.04182493339358241,0.0
0.011141020478324291,0.3445208410828674,-0.18498893900927754,1.0321409663119656,0.03812207965952018,0.9992730893216495,0.0,0.9992730893216495,-0.03812207965952018,0.0
0.011243231675373139,0.34452480475056113,-0.18488946441310786,1.0321404790266613,0.03676779046027623,0.9993238361935881,0.0,0.9993238361935881,-0.03676779046027623,0.0
0.011345442872421984,0.34452817184345297,-0.18478969386294425,1.0321412861439847,0.032843292638695655,0.9994605135415051,0.0,0.9994605135415051,-0.032843292638695655,0.0
0.011447654069470832,0.3445313653991016,-0.18468981606385212,1.032141529981492,0.032692952206803086,0.9994654425621746,0.0,0.9994654425621747,-0.03269295220680309,0.0
0.011549865266519679,0.34453470555840726,-0.18458994982431837,1.032141414857469,0.030921420863605855,0.9995218185371322,0.0,0.9995218185371322,-0.030921420863605855,0.0
0.011652076463568525,0.34453755028006816,-0.18448989240903688,1.032140723767612,0.028040609991427143,0.9996067847865523,0.0,0.9996067847865523,-0.028040609991427143,0.0
0.011754287660617372,0.3445403212259673,-0.1843897594791076,1.03214043382577,0.02563166516562215,0.9996714548994773,0.0,0.9996714548994773,-0.02563166516562215,0.0
0.011856498857666218,0.3445426930951556,-0.18428931529445935,1.032141157778592,0.023653316636291888,0.9997202211679542,0.0,0.9997202211679542,-0.023653316636291888,0.0
0.011958710054715065,0.34454507792186684,-0.18418871515412602,1.0321422739814354,0.02070500286130605,0.9997856284506761,0.0,0.9997856284506761,-0.02070500286130605,0.0
0.012060921251763912,0.34454686151185854,-0.18408803432189014,1.0321421185872994,0.01673798120325696,0.9998599101800408,0.0,0.999859910180041,-0.016737981203256962,0.0
