index,s_m,x_m,y_m,z_m,normal_x,normal_y,normal_z,motion_tangent_x,motion_tangent_y,motion_tangent_z,tool_z_x,tool_z_y,tool_z_z,row_id,phase
55,0.09319198447068427,0.1916666666666667,-0.31,0.812545180221831,-0.020015318076172784,-0.2561960713750126,0.9664175909276067,0.9997855720322664,-1.4210885390721445e-14,0.020707726966374046,0.020015318076172784,0.2561960713750126,-0.9664175909276067,0,0
56,0.0948589404569054,0.19333333333333336,-0.31,0.8125762363358945,-0.01600364448450389,-0.25605831175206273,0.9665288533437049,0.999862929340969,2.842177056042961e-14,0.016556646088405645,0.01600364448450389,0.25605831175206273,-0.9665288533437049,0,0
57,0.09652578194710336,0.195,-0.31,0.812600377082934,-0.011997718072551785,-0.25595131888110456,0.9666152166834923,0.9999229690208707,-1.421088519463181e-14,0.012411930731634777,0.011997718072551785,0.25595131888110456,-0.9666152166834923,0,0
58,0.09819253773423803,0.19666666666666668,-0.31,0.8126176129806212,-0.007996093045737635,-0.2558749774636048,0.9666768117649268,0.9999657865977188,-1.421088513369703e-14,0.008271978844602831,0.007996093045737635,0.2558749774636048,-0.9666768117649268,0,0
59,0.09985923646624786,0.19833333333333336,-0.31,0.8126279515252657,-0.0039973313342011015,-0.2558292053888731,0.966713731676706,0.9999914500341164,-1.421088509721409e-14,0.00413519753644401,0.0039973313342011015,0.2558292053888731,-0.966713731676706,0,0
60,0.10152590669472986,0.2,-0.31,0.8126313972081441,0.0,-0.2558139534883721,0.9667260321314665,1.0,-1.4210885085066076e-14,5.68435403402643e-14,-0.0,0.2558139534883721,-0.9667260321314665,0,0
61,0.10319257692321188,0.2016666666666667,-0.31,0.8126279515252657,0.003997331334201168,-0.2558292053888731,0.966713731676706,0.9999914500341165,-1.4210885097214092e-14,-0.004135197536415588,-0.003997331334201168,0.2558292053888731,-0.966713731676706,0,0
62,0.10485927565522171,0.20333333333333337,-0.31,0.8126176129806212,0.007996093045737703,-0.2558749774636048,0.9666768117649268,0.9999657865977191,1.4210885133697035e-14,-0.008271978844574411,-0.007996093045737703,0.2558749774636048,-0.9666768117649268,0,0
63,0.10652603144235635,0.20500000000000002,-0.31,0.812600377082934,0.011997718072551785,-0.25595131888110456,0.9666152166834923,0.9999229690208704,1.4210885194632005e-14,-0.01241193073166337,-0.011997718072551785,0.25595131888110456,-0.9666152166834923,0,0
64,0.10819287293255433,0.2066666666666667,-0.31,0.8125762363358945,0.016003644484503955,-0.25605831175206273,0.9665288533437049,0.999862929340968,0.0,-0.01655664608846224,-0.016003644484503955,0.25605831175206273,-0.9665288533437049,0,0
65,0.10985982891877549,0.20833333333333337,-0.31,0.812545180221831,0.02001531807617292,-0.2561960713750126,0.9664175909276067,0.9997855720322658,1.421088539072154e-14,-0.020707726966402603,-0.02001531807617292,0.2561960713750126,-0.9664175909276067,0,0
66,0.11152692838829645,0.21000000000000002,-0.31,0.8125071951787306,0.02403419499209264,-0.2563647465823213,0.9662812603899882,0.9996907736244138,-2.842177105302141e-14,-0.024866787694048965,-0.02403419499209264,0.2563647465823213,-0.9662812603899882,0,0
67,0.11319420057283447,0.2116666666666667,-0.31,0.8124622645704956,0.028061744395618426,-0.25656452018851095,0.9661196538120495,0.9995783822071191,1.4210885688025462e-14,-0.02903545805043417,-0.028061744395618426,0.25656452018851095,-0.9661196538120495,0,0
68,0.11486167499971865,0.21333333333333337,-0.31,0.812410368650281,0.03209945119294658,-0.25679560954357217,0.9659325236020666,0.9994482168172424,1.4210885875795565e-14,-0.0332153865073761,-0.03209945119294658,0.25679560954357217,-0.9659325236020666,0,0
69,0.11652938154433691,0.21500000000000002,-0.31,0.8123514845167235,0.036148818824236484,-0.25705826719457037,0.9657195815372791,0.9993000667036307,1.4210886090443274e-14,-0.03740824355832834,-0.036148818824236484,0.25705826719457037,-0.9657195815372791,0,0
70,0.11819735048409659,0.2166666666666667,-0.31,0.8122855860628326,0.0402113721343008,-0.25735278165952474,0.9654804976399998,0.9991336904640988,0.0,-0.04161572514795878,-0.0402113721343008,0.25735278165952474,-0.9654804976399998,0,0
71,0.1198656125541491,0.21833333333333338,-0.31,0.8122126439172784,0.044288660335947624,-0.25767947831824023,0.9652148988796674,0.9989488150478716,-2.8421773206678234e-14,-0.04583955622007371,-0.044288660335947624,0.25767947831824023,-0.9652148988796674,0,0
72,0.12153419900514432,0.22000000000000003,-0.31,0.8121326253777572,0.04838226007979339,-0.2580387204255646,0.964922367691157,0.9987451346156591,-1.421088690332961e-14,-0.050081494402114846,-0.04838226007979339,0.2580387204255646,-0.964922367691157,0,0
73,0.12320314166329678,0.22166666666666668,-0.31,0.8120454943360828,0.052493778645206705,-0.2584309102533254,0.9646024402981705,0.9985223092483881,1.4210887233694273e-14,-0.05434333384387038,-0.052493778645206705,0.2584309102533254,-0.9646024402981705,0,0
74,0.12487247299306561,0.22333333333333336,-0.31,0.8119512111945889,0.05662485726802705,-0.2588564903681236,0.9642546048288664,0.998279963494143,0.0,-0.058626909232301364,-0.05662485726802705,0.2588564903681236,-0.9642546048288664,0,0
75,0.12654222616277305,0.22500000000000003,-0.31,0.8118497327733841,0.06077717462181697,-0.25931594505308553,0.9638782992090934,0.9980176847414585,1.4210887990307176e-14,-0.06293410000388314,-0.06077717462181697,0.25931594505308553,-0.9638782992090934,0,0
